component 0,component 1,component 2,请选择使用模式,flag,username,timestamp
你叫什么名字,D:\Github\langchain-ChatGLM\knowledge_base\新建知识库\vector_store,D:\Github\langchain-ChatGLM\flagged\component 2\tmpggd2qzk5.json,LLM 对话,,be4e6c765d5341838069c47424412553,2023-07-10 21:33:08.314244
写一下C++冒泡排序算法,D:\Github\langchain-ChatGLM\knowledge_base\新建知识库\vector_store,D:\Github\langchain-ChatGLM\flagged\component 2\tmpz4me3mxi.json,知识库问答,,be4e6c765d5341838069c47424412553,2023-07-10 23:22:19.844266
骂人的话,D:\Github\langchain-ChatGLM\knowledge_base\新建知识库\vector_store,D:\Github\langchain-ChatGLM\flagged\component 2\tmpuyugtd0_.json,知识库问答,,be4e6c765d5341838069c47424412553,2023-07-10 23:53:15.207324
教训人的话,D:\Github\langchain-ChatGLM\knowledge_base\新建知识库\vector_store,D:\Github\langchain-ChatGLM\flagged\component 2\tmpvwozzhuy.json,知识库问答,,be4e6c765d5341838069c47424412553,2023-07-10 23:53:28.793463
帮我批评一个叫海棠的人,D:\Github\langchain-ChatGLM\knowledge_base\新建知识库\vector_store,D:\Github\langchain-ChatGLM\flagged\component 2\tmpcgglt_0b.json,知识库问答,,be4e6c765d5341838069c47424412553,2023-07-10 23:53:39.492241
哪有辅助,D:\Github\langchain-ChatGLM\knowledge_base\kyy\vector_store,D:\Github\langchain-ChatGLM\flagged\component 2\tmpx53hx_6_.json,知识库问答,,e2c024e51b004eeda0f9edafde10c6f4,2023-07-12 17:16:44.691439
2.在哪里下插件,D:\Github\langchain-ChatGLM\knowledge_base\kyy\vector_store,D:\Github\langchain-ChatGLM\flagged\component 2\tmp3y1ym4fq.json,知识库问答,,e2c024e51b004eeda0f9edafde10c6f4,2023-07-12 17:16:56.769795
去哪里下载插件,D:\Github\langchain-ChatGLM\knowledge_base\kyy\vector_store,D:\Github\langchain-ChatGLM\flagged\component 2\tmp9irenp3j.json,知识库问答,,e2c024e51b004eeda0f9edafde10c6f4,2023-07-12 17:17:10.884513
怎么下载插件,D:\Github\langchain-ChatGLM\knowledge_base\samples\vector_store,D:\Github\langchain-ChatGLM\flagged\component 2\tmpcv506b6t.json,知识库问答,,e2c024e51b004eeda0f9edafde10c6f4,2023-07-12 17:19:56.034779
如何下载插件,D:\Github\langchain-ChatGLM\knowledge_base\samples\vector_store,D:\Github\langchain-ChatGLM\flagged\component 2\tmpnnxvz34_.json,知识库问答,,e2c024e51b004eeda0f9edafde10c6f4,2023-07-12 17:20:44.037346
